request_id,arrival_timestamp,prompt_size,token_size
0,0.08504150563453777,1156,136
1,0.22939188330022073,1057,129
2,0.43733308732733284,1081,12
3,0.447971478990731,396,87
4,0.5084168436555844,1051,422
5,0.5988458632780574,860,401
6,0.6973239109550744,203,82
7,0.7167762962244499,400,404
8,0.781793140001085,181,396
9,0.896558116739117,372,417
10,0.9161126924735042,1051,393
11,0.9649898436892046,430,397
12,1.0337086193764136,203,93
13,1.051881688089133,1004,396
14,1.0743987719294712,326,96
15,1.0746718524179342,1063,414
16,1.0855478181169036,371,136
17,1.2498157563432213,1288,125
18,1.253973193809442,402,48
19,1.3649088419089201,1349,127
20,1.3884997609775032,1061,429
21,1.470123051852445,1185,81
22,1.509774270901882,394,16
23,1.7381548972388972,1009,414
24,1.762213162068147,1149,456
25,1.9759460723705096,1101,602
26,2.2557373610158336,1315,52
27,2.4286866303515517,220,41
28,2.523645775444236,1101,14
29,2.5242116019113947,420,152
30,2.6464951935070005,2375,82
31,2.698571242694104,396,411
32,2.7663434631837074,1121,38
33,2.7815674983470937,2748,116
34,2.821936116397627,397,56
35,2.847904404207928,181,405
36,2.850266961499483,1182,445
37,2.887974329595183,1088,379
38,2.903400748852506,1028,78
39,2.932979186619977,2265,390
40,3.0752616870241947,977,150
41,3.1511968178193803,2322,181
42,3.153204261936549,181,57
43,3.202164938795554,1041,86
44,3.22676944184874,1065,407
45,3.2549298996235705,1149,96
46,3.372985844612969,1140,399
47,3.404384799448473,1474,114
48,3.508370094452495,2584,104
49,3.639990147307988,1107,161
50,3.699478356771657,1312,95
51,3.7525153074323216,406,130
52,3.7555218580497916,920,148
53,3.786139408759383,4084,389
54,3.8013481299075913,1075,394
55,3.9205845539019415,4085,37
56,3.9431481171026945,1043,621
57,3.949217705227436,1028,88
58,4.182314569883967,435,160
59,4.211014067160139,1025,401
60,4.307001765859042,415,438
61,4.434790404593751,403,43
62,4.548879230720505,1172,384
63,4.693805747170509,1204,58
64,4.802719102603018,414,50
65,4.819862403023382,374,418
66,4.878846964839505,165,385
67,4.957274987019361,1316,138
