request_id,arrival_timestamp,prompt_size,token_size
0,0.15411528239296587,1097,48
1,0.1739559839592507,402,62
2,0.17606870343380754,1101,388
3,0.1947609904480159,419,398
4,0.1993351772015628,1316,81
5,0.27814791169705766,982,632
6,0.31300511009045384,1320,122
7,0.4047366830519481,120,89
8,0.42542289881202544,387,41
9,0.4447749480643902,999,181
10,0.46873519328527746,181,79
11,0.5693051670027733,402,95
12,0.6027941406053801,1058,592
13,0.9107021666020971,4082,96
14,0.9459556227619099,426,149
15,0.95776141462013,1104,82
16,0.9920590055679762,2534,401
17,1.0060083251969822,397,108
18,1.0688867392005388,212,500
19,1.159764046983403,480,396
20,1.3329435268141179,1021,377
21,1.470042728432242,209,38
22,1.5500126155501286,1185,169
23,1.571335520207098,2363,388
24,1.6317602617616687,1090,421
25,1.6451405631177467,384,168
26,1.6475995463543431,400,47
27,1.756895763849078,390,87
28,1.838934340864021,421,95
29,1.8924182795533844,1315,83
30,2.027610685779226,2091,112
31,2.0709690573130737,1051,411
32,2.0773742086472162,378,92
33,2.134260935175187,1179,404
34,2.2361100284236337,1027,395
35,2.3067832726607533,1023,188
36,2.3315833146941274,1143,113
37,2.396198988916618,387,418
38,2.4257926824114233,1055,423
39,2.444956724711732,992,404
40,2.4609686817099843,1066,414
41,2.5840106113980195,1072,86
42,2.616532775753851,1147,395
43,2.659926572528229,372,73
44,2.663530398526724,181,619
45,2.786357030148015,4081,217
46,2.9319065139653744,2399,116
47,2.9691387599475316,846,386
48,2.9935887684178315,387,117
49,3.025121812369347,1961,398
50,3.028017702337545,1087,179
51,3.0522078333155025,376,592
52,3.089955790567857,901,520
53,3.1914898375020955,1095,231
54,3.19461328565982,993,398
55,3.2205397549138923,518,68
56,3.2225134642108753,1066,88
57,3.252251727352279,378,97
58,3.2573580331771232,1121,384
59,3.347809009662477,3747,217
60,3.3492880980499136,4076,80
61,3.4148267712261875,4080,243
62,3.4700562765873886,4089,375
63,3.4927089372429494,1043,113
64,3.495123341588555,1064,416
65,3.5021633128960055,1101,427
66,3.5343955520926262,1037,63
67,3.6149246804511717,4088,146
68,3.7361090465037146,396,100
69,3.812000641720786,91,54
70,3.8438459585217717,414,66
71,3.8482402603084602,391,57
72,3.856994921763958,195,74
73,3.9335748646993385,397,76
74,3.944499653201373,1012,402
75,4.005066293886146,398,126
76,4.012024340216604,4074,53
77,4.136839556302758,400,54
78,4.156484666030152,3292,396
79,4.158105523130497,1032,93
80,4.221772019708156,1048,163
81,4.22392268724073,87,429
82,4.225152098561631,403,426
83,4.340487307642211,433,97
84,4.3795372614012456,181,69
85,4.433365780563565,1044,94
86,4.552476353603239,1455,395
87,4.562854825385941,397,130
88,4.645728839943852,371,91
89,4.689333434619955,21,420
90,4.769618199984762,4094,411
91,4.8337887891137745,1040,373
92,4.834796076680387,409,217
93,4.938862545585582,384,85
94,4.942605120605811,906,92
95,4.948091530565213,1166,133
96,4.969247473909238,1064,98
97,4.999808027180355,1132,136
