request_id,arrival_timestamp,prompt_size,token_size
0,0.37949482533551127,3080,156
1,0.396254512768521,181,30
2,0.4325694727108249,1135,408
3,0.5810952422464175,181,388
4,0.5929767507513218,1135,468
5,0.6486911196594496,401,142
6,0.7627513413529097,1147,415
7,1.0439873574618437,5105,466
8,1.0744109271475495,1072,57
9,1.1436525205501775,1081,565
10,1.2427008741488093,5105,429
11,1.3164836872369834,395,393
12,1.5235662214673709,922,92
13,1.565952823715444,1185,92
14,1.8552757836611269,409,366
15,2.0431675999701566,403,387
16,2.092183142929935,186,93
17,2.2516398752064104,1315,14
18,2.4509438160084116,396,409
19,2.7965470586398826,874,59
20,2.8630724484553323,4077,104
21,3.559818002413988,4092,60
22,3.637131605324657,394,217
23,3.6476673704014013,1010,425
24,4.1726057510502725,2234,176
25,4.210232339727052,1078,411
26,4.226592061063808,5776,416
27,4.4180569313719875,1043,180
28,4.854422428015413,1038,143
